ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-A181GL-(Xanh-biển)-GoodSeptember,1,,visible,,,,,taxable,,1,,,,,,,,,,39.000 ₫,75.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,BALO-ĐI-HỌC-NAM-NỮ-[HÀNG-CHẤT-LƯỢNG-TỐT]-DB11-2LA-(XÁM-ĐEN),1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ₫,199.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-DI-HOC-NAM-N.jpg,,,,,,,,,
,simple,,-Balo-Nam-Hàn-Quốc-Db11-1la-(Xám-đen),1,,visible,,,,,taxable,,1,,,,,,,,,,71.000 ₫,122.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/-Balo-Nam-Han-Quo.jpg,,,,,,,,,
,simple,,Balo-Nữ-Hàn-Quốc-LAZA-BL221-(Nâu),1,,visible,,,,,taxable,,1,,,,,,,,,,122.000 ₫,198.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-Han-Quo.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-LAZAPAY.VN-A181GL-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,40.500 ₫,89.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,Balô-thời-trang-nam-nữ-DB1133la---Hàng-có-chất-lượng-tốt-(Xanh-phối-),1,,visible,,,,,taxable,,1,,,,,,,,,,75.600 ₫,129.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-thoi-trang-n.jpg,,,,,,,,,
,simple,,Balo-Thời-Trang-Glado-Classical---BLL002-(Màu-Đen)---Hàng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,69.000 ₫,150.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Thòi-Trang-G.jpg,,,,,,,,,
,simple,,Balo-Unisex-Hàn-Quốc-PRAZA---BL151-(Xanh)-(Tặng-Móc-Khóa)---Hãng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ₫,149.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,-Balo-nữ-thời-trang-Hàn-Quốc-IAC-A181GL-(Kem)--,1,,visible,,,,,taxable,,1,,,,,,,,,,38.250 ₫,72.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/-Balo-nu-thoi-tr.jpg,,,,,,,,,
,simple,,Combo-Balo-Và-Ví-Hey-Hàn-Quốc-KATUS---U018,1,,visible,,,,,taxable,,1,,,,,,,,,,49.000 ₫,99.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Combo-Balo-Va-Vi-H.jpg,,,,,,,,,
